Things,Move,Impact,Upshot
Taxes,"The 2017 tax bill slashed individual and corporate tax rates and made dozens of other major changes to the tax code that affected virtually every facet of the economy, from small businesses to university endowments. ","The tax cuts helped goose the economy before the coronavirus struck, as unemployment fell steeply and the economy expanded, though many economists argued it was a sugar high or questioned whether a direct line could be drawn between the cuts and the good times. Also, the economic impact wasn’t all good — the tax cuts also fueled record deficits. Supporters inside and outside the Trump administration still insist the cuts will pay for themselves in the long run through economic growth — though many economists are skeptical, or outright dismissive, of that prediction. ","While the tax cuts benefited the economy in the short turn, they failed to pay political dividends for Trump. Polls showed the tax bill was never very popular, with the Democrats doing a good job of convincing voters it mainly benefited the wealthy. Biden has vowed to roll back much of the tax cut, particularly for high earners, by boosting the corporate tax rate to 28 percent from 21 percent and raising the top individual income tax rate to 39.6 percent from 37 percent for those earning more than $400,000 annually. However, he could have a hard time getting that through Congress, with Democrats holding a one-vote majority in the Senate and a diminished number of House seats. — Toby Eckert"
Robocalls,"At the end of 2019, Trump signed into law carefully crafted bipartisan legislation designed to ensure phone companies would install technology to verify that calls were authentic and bolster federal enforcement powers. These efforts built on work already underway at the FCC and among state attorneys general to ward off the unwanted calls and crack down on the perpetrators, many of whom were slapped with record-setting fines in recent years under FCC Chair Ajit Pai. ","The volume of robocalls in 2020 seems to be on track to be lower than the previous two years, although the global pandemic could be affecting the numbers in ways not immediately apparent (not to mention prompting scams specific to Covid-19). ","Although these efforts will provide a strong foundation for any moves under Biden to further tamp down the number of calls, businesses say they still lack the legal clarity they need to use automated phone calls and texts for legitimate communication with their customers. Biden and Congress will now face pressure to provide such clarity. — John Hendel "
Climate science,Officials refused to publicize dozens of studies that carry warnings about the effects of climate change on the agriculture sector. The department even stopped the release of a plan on how to respond to the climate change crisis. ,"Perdue’s contentious decision to relocate hundreds of scientists to Kansas City was among the reasons morale has been so low among department employees, prompting many of them to jump ship, leaving research agencies with a fraction of their former staff. ","The Biden administration is facing pressure to quickly rehire scientists to get USDA research agencies back to full capacity, and they are expected to boost spending on research studying threats facing the food system, including climate change. — Liz Crampton "
Medical records,"Early in 2020 — just before coronavirus upended daily life — the Trump administration released a big ball of rules meant to sweep aside barriers to sharing health information. The administration’s rules have several targets but they focus on practices like “information blocking,” whereby companies or providers might not release necessary data for competitive advantage, and require companies to use standardized recipes to exchange information.","Not much, yet. Providers and other parts of the industry successfully argued that complying with the rules would be too heavy a lift amid the pandemic, so the Trump administration has delayed the effective date. ","The provisions are, broadly speaking, popular and flow from bipartisan work beginning in the Obama administration. If anything, the biggest critics of the rules want them to be tougher and go into effect faster. For that reason, it’s unlikely a Biden administration will be looking to reverse course. — Darius Tahir "
Sexual harassment,"In March 2017, Trump signed a Congressional Review Act resolution to revoke a regulation enacted under Obama the previous year that required businesses to publicly disclose any sexual harassment or labor law violations over the previous three years whenever they bid on large federal contracts. The goal of the rule was to prevent federal money from flowing to firms with a history of such infractions. The Fair Pay and Safe Workplaces rule also barred companies with federal contracts of more than $1 million from requiring that workers address claims of sexual harassment or sexual assault in private arbitration, taking away their option to sue in court. ",Federal contractors with a history of sexual harassment or other labor violations can win bids without having to reveal their problematic history.,"Biden can reinstate the executive order, but it’s legally murky for the Department of Labor to reissue the rule because the Congressional Review Act bars agencies from issuing “substantially the same” regulation after it’s been overturned by Congress. — Rebecca Rainey "
Auto emissions,"The Obama administration’s plan would have required automakers to improve fuel efficiency by 5 percent per year, but the Trump administration rolled those targets back to just 1.5 percent improvement each year. ","Vehicle emissions represent the largest source of greenhouse gas emissions in the U.S. and the rollback was likely the biggest climate-related action of Trump’s term, especially as electric utilities continue to move away from coal on their own and as electric vehicles are slow to take hold in the U.S. But some of the effect was mitigated when the state of California brokered a deal with five major auto manufacturers to meet standards similar to the Obama-era ones.","The Biden administration is expected to laser in on the auto rules for reconsideration, but the multiyear lead time manufacturers need to design and test their vehicles means the gains mandated under the Obama-era rules but scaled back by Trump are all but forfeited. — Alex Guillén and Annie Snider "
Antitrust,"Early on, Trump’s tenure seemed to be following recent patterns by waving through major mergers like the combination of telecom giants Sprint and T-Mobile. But two Trump picks, FTC Chair Joe Simons and DOJ's Barr, have spent the past two years more aggressively looking into antitrust concerns raised by Silicon Valley. In recent months, the DOJ filed a landmark antitrust case against Google, its biggest monopolization case since the 1990s suit against Microsoft. The FTC, meanwhile, is pursuing its own watershed suit against Facebook that could see the social network broken up. ","It’s too soon to tell whether the antitrust actions will succeed in forcing changes at Google or Facebook, but they have sent a signal that there will be more scrutiny of their business practices going forward. ","Both lawsuits will continue into the Biden administration — and possibly beyond. Major antitrust cases can take 3 to 5 years, and a trial in the Google suit likely won’t even begin till the fall of 2023. — Leah Nylen"
Immigration,"The Department of Homeland Security has pushed through restrictions and changes to the H-1B visa program that allows U.S. businesses to hire high-skilled foreign workers for “specialty“ jobs. Businesses rely on these workers to fill jobs they say they can’t fill with U.S. citizens. The administration, however, said U.S. employers are abusing the work visa because they want to replace American workers with cheaper foreign labor. The administration’s most recent rules sought to limit the types of jobs foreign workers can apply for, while also requiring employers to pay them more. ","Some changes — including those that narrow the definition of a ""specialty occupation"" and that require employers to pay foreign workers more — were expected to reduce the number of approved H-1B visa petitions by one-third. Those efforts have since been halted in court. Businesses seeking these non-immigrant worker visas also saw an increase in requests to provide more evidence in their applications and a higher rate of visa denials. ","Biden promised during his campaign that he would support expanding the number of high-skilled visas available, but after first reforming the temporary visa system to prevent favoring “only entry level wages and skills.” That’s likely to be a heavy lift; Congress hasn’t been able to pass comprehensive immigration reform since 1986. — Rebecca Rainey"
Toxic chemicals,"Trump officials muzzled scientists and civil servants at the agency and crafted narrow approaches to assessing chemicals’ dangers that have massive loopholes. Specifically, while under the new law Congress urged EPA to consider all possible exposures to a chemical, cumulatively, whether in the water, air, through consumer uses or exposure at work. But Trump’s EPA opted only to look at risks from exposures that couldn’t be regulated under other laws; for instance, they wouldn’t weigh potential exposure to a chemical in drinking water since it could be regulated under the Safe Drinking Water Act, even if it wasn’t. Trump’s EPA also mostly whiffed statutory deadlines to finish studying risks for the first round of chemicals under the 2016 law and was slapped by a federal court for ignoring certain ways Americans are exposed to toxins. ","The administration’s approach paves the way for less stringent regulation of toxic chemicals. If the Biden EPA leaves the laxer evaluations intact, its subsequent regulations will not be able to limit certain ways people are exposed — meaning Americans may not get comprehensive protection. While it is likely the Biden administration will take a more holistic look at future chemicals EPA reviews, it is unclear whether it will have time to re-analyze the chemicals the Trump administration already finished reviewing.","Biden’s EPA is expected to take a more holistic approach to assessing and addressing chemicals’ risks, but because of strict timelines set under the 2016 law, it is unclear to what extent it will be able to redo assessments done under the Trump administration. — Alex Guillén and Annie Snider "
Internet upgrade,Trump carried out a handful of different actions to block companies like Huawei and ZTE from getting any foothold in the U.S. telecom marketplace and limit their ability to trade with U.S. companies. These domestic actions were combined with a global full-court press in which Trump lobbied America’s allies in Europe and beyond to avoid using Chinese network equipment in any telecom infrastructure. ,"Trump notched victories in countries like Britain and Australia, who made decisions to reject Huawei from their domestic 5G buildouts. The administration also nailed down plans to force smaller U.S. telecom carriers to rip out and replace any scattered gear from Huawei and ZTE being used in their networks. ","Although many expect Biden to take a more multilateral approach, Trump’s concerns won bipartisan backing within the U.S. and are likely to keep dominating global and domestic talks. Many countries are still mulling whether they share the alarm coming from U.S. officials. — John Hendel "
Farm aid,"Trump’s USDA steered billions in subsidies to farmers suffering from tariffs imposed by foreign countries as a consequence of the president’s trade wars, an amount that far outpaced the massive auto bailout in 2008.","The vast majority of the aid went to traditional row crop farmers, many of whom were part of Trump’s political base. Government payments are forecast to be at their highest level ever and account for nearly 40 percent net farm income this year. ","Biden faces a difficult choice in deciding whether to continue the payments: The effects of Trump’s trade war will stick around well into 2021, and producers have come to rely on the assistance to stay in business. — Liz Crampton"
Banking,The smallest banks won relaxed mortgage regulations and streamlined capital requirements while escaping restrictions intended to discourage risky bets in bank trading. A number of large lenders escaped Federal Reserve rules targeted at the biggest “systemically important” banks. One of the most controversial provisions in the legislation shields small lenders from mortgage disclosure requirements intended to help fight discrimination. The bill’s opponents warned that it would hurt consumers and wasn’t necessary at a time when the industry was racking up record profits. ,"Since the passage of the legislation, large banks that lobbied for the looser restrictions have begun to merge. SunTrust and BB&T combined in 2019 to form Truist, the eighth-biggest U.S. bank at more than $504.3 billion in assets. PNC, the country’s 10th-largest lender, agreed to buy the U.S. operations of BBVA to form another mega-bank.","Even with Democrats in control of Congress, it’s unlikely they will try to undo the law, which the party’s centrists helped pass. Biden’s nominees to regulatory agencies may reconsider some of the rules drafted to execute the legislation but it probably won’t be a top priority. — Zachary Warmbrodt "
Social media,"Trump signed an executive order in May asking federal agencies to narrow Section 230’s liability protections, which Republicans say enable Silicon Valley censorship of conservatives. Trump has also taken an unusually active role in pushing his allies at federal agencies and in Congress to weaken the legal shield. ",Pressure from Trump prompted the Federal Communications Commission to launch a controversial rulemaking process to “clarify” the scope of Section 230. The Justice Department unveiled its own proposal to pare it back. And congressional Republicans once wary of changing the law have rallied around Trump’s efforts by introducing bills to do just that.,"While there’s bipartisan support for revamping the law, those GOP-led efforts focused on the bias charges are likely to be blocked by Democrats in Congress. — Cristiano Lima "
Environmental impacts,"In July, the White House Council on Environmental Quality issued sweeping policy changes setting shorter deadlines for agencies to complete environmental reviews and drastically reducing the scope of environmental impacts federal agencies should consider. Under the new rule, agencies need only consider emissions caused by the building of a project but not the use of the project, such as increased vehicle emissions caused by a highway expansion.",New projects can be more polluting or damaging to the environment over the long term and still be approved – and community groups will have less leverage to challenge them. ,"The Department of Transportation is moving forward with its effort to implement the new rule, despite multiple petitions to hold off. Five separate lawsuits are challenging the Trump changes to NEPA policy; however, it is unlikely the Biden Administration will continue to defend the changes in court, which makes is more likely they will be overturned. — Tanya Snyder"
Artificial intelligence,Trump in 2019 signed an executive order aimed at boosting the federal government’s role in promoting the development of AI and at providing guidance to agencies on how to regulate the technology. The White House also threw its support behind European efforts to develop global AI standards. ,"Even as Trump disengaged from other areas of international rulemaking, his actions helped give the U.S. a global presence in the international debate over how to regulate AI. ","Industry leaders are still looking for the federal government to seize an even more active role in championing AI development, and to provide more funding for R&D. And they’re hoping the incoming Biden administration will go much farther than Trump did. — Cristiano Lima"
Housing segregation,"Carson scrapped the Affirmatively Furthering Fair Housing rule, which threatened to withhold housing funds from cities that fail to take active steps to end segregation. The new version also revamped the agency's ""disparate impact"" rule to make it harder for plaintiffs to bring claims of unintentional discrimination. In addition, the Consumer Financial Protection Bureau gave small banks an exemption from data collection requirements that help track racial discrimination in the mortgage market. The agency also dramatically cut back on enforcing fair lending laws during the Trump administration. ","The reduced focus on fair housing comes as the gap in homeownership rates between Black and white Americans yawns as widely as it ever has, including when housing discrimination was legal. About 70 percent of white households own their homes, compared with about 40 percent of Black households — a disparity the ongoing and lopsided economic crisis is expected to exacerbate.","Because the 2015 rule was already on the books, the incoming administration can simply revoke the replacement regulation and revert to the original, although it will have to update the data tools that form the backbone of the rule. Rebuilding an aggressive enforcement division at the CFPB will take longer. — Katy O’Donnell"
Trade rules,Trump abandoned the Trans-Pacific Partnership agreement supported by most other Republicans and ran roughshod over the rules-based trading system to pursue his political objective of boosting U.S. industry. He imposed tariffs on more than $350 billion worth of Chinese goods and on billions of dollars’ worth of steel and aluminum imports. He struck a trade deal with China that eliminates many agricultural trade barriers but left many other serious trade issues unaddressed. He also used the threat of withdrawing from the North American Free Trade Agreement to strike a more protectionist version of the agreement with Canada and Mexico.,Trump elevated concerns about China’s trade practices and acquisition of American technology to a new level and helped usher in what many now are calling a cold war between the world’s two largest economies. He also weakened the World Trade Organization through his willingness to hamstring the group’s dispute settlement system and to unilaterally impose tariffs to punish trading partners and protect domestic industries. ,"Trump leaves office with a mixed record on trade. The new U.S.-Mexico-Canada Agreement has groundbreaking provisions on labor enforcement and costly new rules for North American automakers. Trump fell far short on his promise to negotiate bilateral trade deals to make up for his decision to pull out of the TPP, although he did negotiate a number of partial trade deals with the EU, Japan and Brazil and borrowed heavily from the TPP in his NAFTA update. — Doug Palmer"
